statement,label
Anheuser-Busch InBev operates in the industry of Materials.,0
"Meta Platforms is a bank and financial holding company, which engages in the provision of banking and nonbank financial services..",0
"Honda Motor engages in the manufacture and sale of automobiles, motorcycles and power products..",1
MetLife operates in the industry of Banking.,0
Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles..,1
Cathay Financial engages in the provision of financial services..,1
Airbus Group has headquarters in Netherlands.,1
Tokio Marine Holdings has headquarters in Germany.,0
"Cisco Systems engages in power generation, transmission, distribution, supply and trading activities..",0
UBS Group is a holding company that engages in the provision of financial management solutions..,1
Sony operates in the industry of consumer durables.,1
Walt Disney has headquarters in United States.,1
Charles Schwab Corporation operates in the industry of diversified financials.,1
Itochu has headquarters in Japan.,1
"Chubb operates as a holding company, which engages in the provision of commercial and personal property and casualty insurance, personal accident and supplemental health insurance (A&H), reinsurance, and life insurance..",1
"Nestle engages in the designing, manufacturing, and selling of cars, trucks and automobile parts..",0
Mizuho Financial has headquarters in Japan.,1
Mitsubishi operates in the industry of trading companies.,1
Postal Savings Bank of China operates in the industry of Diversified Financials.,0
AbbVie (ABBV) has headquarters in Taiwan.,0
Toronto-Dominion Bank provides financial products and services..,1
Bank of Communications engages in the provision of banking and financial services..,1
Micron Technology has headquarters in Netherlands.,0
Japan Post Holdings operates in the industry of insurance.,1
China Merchants Bank engages in the provision of corporate and personal banking services..,1
"Honeywell is a software industrial company, which offers industry specific solutions to aerospace and automotive products and services..",1
Santander operates in the industry of banking.,1
Telefonica operates in the industry of Banking.,0
Toyota Motor has headquarters in Japan.,1
"Cisco Systems engages in the design, manufacture, and sale of Internet Protocol based networking products and services related to the communications and information technology industry..",1
American International Group operates in the industry of insurance.,1
"Canadian Imperial Bank of Commerce engages in the exploration, production, refining, marketing and distribution of oil..",0
Fubon Financial engages in the provision of chemical products..,0
Citigroup has headquarters in United States.,1
Walt Disney has headquarters in China.,0
"ING Group engages in the provision of banking, investments, life and non-life insurance, and retirement and asset management services..",1
Lowe's has headquarters in Brazil.,0
