statement,label
Carl Wilhelm Siemens invented the Siemens regenerative furnace.,1
Thomas Wedgwood invented the photogram (proto-photography).,1
Elisha Gray invented the telegraph printer.,1
Narinder Singh Kapany lived in India.,1
Tim Berners-Lee invented the World Wide Web.,1
Gordon Gould invented the steam turbine.,0
Archimedes invented the refrigeration (absorption process).,0
Spencer Silver invented the Bessemer process for steelmaking.,0
Cai Lun lived in Netherlands.,0
Luther George Simjian invented the electromagnetic waves discovery.,0
Hedy Lamarr invented the AGA lighthouse.,0
Nikolai Basov lived in U.S.,0
Hans Geiger invented the penicillin discovery.,0
Jack Kilby invented the heterotransistor.,0
Vint Cerf lived in France.,0
Lester Wire invented the electric traffic light.,1
Paul Gottlieb Nipkow lived in Germany.,1
Leonardo da Vinci invented the various inventions and concepts (theoretical).,1
James Clerk Maxwell lived in U.K.,1
Alexander Fleming invented the penicillin discovery.,1
Arthur Pitney invented the postage meter.,1
Joseph-Armand Bombardier invented the snowmobile.,1
August Horch invented the Audi automobile.,1
Gustaf DalÃ©n invented the AGA lighthouse.,1
Samuel Fox invented the steel ribbed umbrella.,1
Marie Curie invented the discovery of radium and polonium.,1
Sir Isaac Newton invented the reflecting telescope.,1
Yoshiro Nakamatsu invented the floppy disk.,1
Joseph Engelberger invented the induced pluripotent stem cells.,0
Dr. Robert Gallo lived in U.S.,1
Joseph Henry invented the electromagnetic relay.,1
Carl Wilhelm Siemens invented the electromagnet.,0
Frank Julian Sprague invented the electric streetcar system.,1
Thomas Tompion lived in U.K.,1
Charles Macintosh lived in U.K.,1
Marvin Camras lived in U.S.,1
Albert Ghiorso invented the co-discovery of multiple elements.,1
Ignazio Porro invented the lightning rod.,0
Yoshua Bengio invented the airplane.,0
Benjamin Franklin lived in U.S.,1
Charles Strite invented the blue jeans.,0
George Eastman lived in U.S.,1
Igor Sikorsky invented the practical helicopter.,1
Vint Cerf invented the internet protocol suite.,1
Ada Lovelace lived in U.S.,0
Chester Carlson lived in U.S.,1
Evangelista Torricelli invented the barometer.,1
Charles Francis Jenkins lived in France.,0
Frederick Walton lived in U.K.,1
Levi Strauss invented the blue jeans.,1
James Hargreaves invented the airplane.,0
Joseph Glidden lived in U.S.,1
Heinrich GÃ¶bel invented the early incandescent light bulb.,1
Clyde Tombaugh invented the discovery of Pluto.,1
Kwolek lived in Stephanie.,1
George Pullman invented the electrocardiograph (ECG).,0
Leon Theremin invented the linoleum.,0
Igor Tamm invented the electron cooling.,1
John Ambrose Fleming invented the vacuum tube diode.,1
Nicolas Appert lived in Scotland.,0
Ignazio Porro lived in U.S.,0
John Shepherd-Barron invented the ATM.,1
Maria Telkes invented the solar thermal storage system.,1
Charles Wheatstone invented the Wheatstone bridge.,1
Robert Chesebrough lived in France.,0
Karl Landsteiner lived in U.K.,0
Charles Babbage lived in Italy.,0
Yoshua Bengio lived in U.S.,0
Ruth Handler lived in U.S.,1
Joseph Glidden invented the barbed wire.,1
Candace Pert invented the World Wide Web.,0
Philo Farnsworth lived in Germany.,0
Dr. Robert Gallo lived in Sweden.,0
Luther Simjian lived in U.K.,0
Eli Whitney invented the cotton gin.,1
John Ambrose Fleming invented the Bankograph (early ATM).,0
Edmund Cartwright lived in Germany.,0
Rudolf Diesel invented the caterpillar track.,0
Ferdinand CarrÃ© lived in Russia.,0
Charles Wheatstone lived in U.S.,0
William Sturgeon invented the trackball.,0
Philo Farnsworth lived in U.S.,1
Yvonne Brill lived in Canada.,1
Ralph H. Baer invented the first home video game console.,1
Alan Turing lived in U.K.,1
Alessandro Volta lived in Italy.,1
Archimedes invented the Archimedes' screw.,1
Kwolek lived in Sweden/U.S.,0
R. Buckminster Fuller lived in Canada.,0
Leon Theremin lived in U.K.,0
Carl Sontheimer invented the food processor.,1
Alfred Nobel lived in Sweden.,1
Maria Telkes invented the frequency hopping spread spectrum.,0
Nils Bohlin lived in U.K.,0
Johannes Gutenberg lived in Germany.,1
Nikolay Slavyanov invented the shielded metal arc welding.,1
Robert Noyce invented the co-discovery of multiple elements.,0
Richard Leach Maddox invented the dry collodion photographic plate.,1
Nicolas Appert invented the steam engine improvements.,0
James Watt invented the electromagnetic relay.,0
Edwin Herbert Hall invented the electronic television.,0
John von Neumann lived in Italy.,0
Spencer Silver lived in U.S.,1
Ernest Swinton lived in U.K.,1
Valdemar Poulsen invented the magnetic wire recorder.,1
Charles Townes lived in U.S.,1
John Wesley Hyatt invented the steam engine improvements.,0
Heinrich GÃ¶bel invented the standard time zones.,0
James Hargreaves lived in U.S.,0
Robert Moog invented the integrated circuit.,0
Charles Wheatstone lived in U.K.,1
James Dyson lived in U.K.,1
Sergey Brin and Larry Page invented the Google search engine.,1
Hans von Ohain invented the jet engine.,1
John Atanasoff lived in U.S.,1
Samuel Morse lived in U.S.,1
Christopher Cockerell invented the karaoke machine.,0
Nikolai Basov lived in Soviet Union.,1
Whitcomb Judson invented the slide fastener (zipper precursor).,1
Philo Taylor Farnsworth lived in France.,0
Carl Sontheimer lived in U.S.,1
Thomas Savery lived in U.K.,1
Joseph Bramah invented the hydraulic press.,1
Konrad Zuse invented the programmable computer (Z3).,1
Carl Elsener invented the electrocardiograph (ECG).,0
Michael Faraday invented the refracting telescope.,0
Semyon Kirlian invented the Kirlian photography.,1
Guglielmo Marconi invented the arc welding.,0
Charles Francis Jenkins invented the motion picture projector.,1
Jacob Perkins invented the compression refrigeration.,1
Hans Goldschmidt invented the thermite process.,1
Hans Lippershey invented the refracting telescope.,1
Carl Elsener invented the Swiss Army knife.,1
James Murray Spangler lived in France.,0
James Clerk Maxwell invented the electromagnetic field theory.,1
George de Mestral invented the modern chemical nomenclature.,0
Blaise Pascal invented the mechanical calculator.,1
Charles Babbage invented the analytical engine (mechanical computer).,1
Cai Lun invented the papermaking process.,1
Arthur Fry lived in U.S.,1
George Washington Carver invented the agricultural innovations.,1
Lester Wire invented the airship (non-rigid).,0
Felix Hoffmann invented the aspirin synthesis.,1
George Pullman lived in Netherlands.,0
Clyde Tombaugh invented the Unimate (first industrial robot).,0
Christian Huygens lived in Netherlands.,1
Willem Einthoven invented the X-rays discovery.,0
Heinrich GÃ¶bel lived in Germany.,1
Cai Lun invented the refracting telescope.,0
Semyon Kirlian lived in Russia.,1
Joseph-Armand Bombardier invented the piano roll (used in player pianos).,0
Elihu Thomson invented the arc welding.,1
James Watt lived in U.S.,0
Leon Theremin invented the theremin.,1
Heinrich Hertz invented the electromagnetic waves discovery.,1
Yvonne Brill invented the electrothermal hydrazine thruster.,1
Nikolai Basov invented the molecular laser.,1
Marie Curie lived in Poland/France.,1
Christian Huygens lived in U.K.,0
Mary Phelps Jacob lived in U.S.,1
Alessandro Volta invented the Kirlian photography.,0
Robert Adler invented the assembly line production.,0
John von Neumann invented the stored-program computer architecture.,1
Richard Gatling invented the Gatling gun.,1
John Shepherd-Barron invented the DNA fingerprinting.,0
John Walker invented the friction match.,1
Samuel Colt invented the caterpillar track.,0
Pierre Curie lived in France.,1
Sir Sandford Fleming invented the World Wide Web.,0
Bette Nesmith Graham lived in U.S.,1
Antoine Lavoisier invented the modern chemical nomenclature.,1
Carlos Glidden lived in U.S.,1
Alfred Nobel invented the AGA lighthouse.,0
John Wesley Hyatt invented the celluloid.,1
Sir Sandford Fleming lived in U.K.,0
Charles Goodyear lived in U.K.,0
Heinrich Hertz lived in Germany.,1
Joseph Glidden lived in France.,0
Wilhelm Conrad RÃ¶ntgen invented the X-rays discovery.,1
John Kay lived in U.S.,0
Godfrey Hounsfield lived in U.K.,1
Vint Cerf lived in U.S.,1
James Dyson invented the bagless vacuum cleaner.,1
Otis Boykin lived in U.S.,1
Ralph Benjamin invented the trackball.,1
Edwin Herbert Hall invented the Hall effect.,1
Frederick Walton invented the gasoline-powered automobile.,0
Reginald Fessenden invented the amplitude modulation (AM) radio.,1
Willis Carrier invented the Christmas card.,0
Mary Walton lived in Finland.,0
John Gorrie lived in U.K.,0
Thomas Tompion invented the amplitude modulation (AM) radio.,0
James Watt invented the steam engine improvements.,1
Georges Claude invented the X-rays discovery.,0
George Devol invented the Bankograph (early ATM).,0
Evangelista Torricelli lived in France.,0
Ruth Benerito invented the wrinkle-resistant fabric.,1
Frank Julian Sprague lived in U.S.,1
Thomas Tompion invented the cylinder escapement (clockmaking).,1
John Logie Baird invented the Liquid Paper.,0
Edwin Link lived in U.S.,1
Fridtjof Nansen invented the automatic dishwasher.,0
Jean-Bernard-LÃ©on Foucault invented the Foucault pendulum.,1
Richard Trevithick invented the penicillin discovery.,0
Sir Sandford Fleming lived in Canada.,1
Richard Trevithick lived in U.K.,1
John Boyd Dunlop invented the transistor.,0
Gordon Gould lived in U.K.,0
Giovanni Caselli lived in France.,0
Sir Frank Whittle lived in U.K.,1
Nikolai Basov invented the traffic signal.,0
Hedy Lamarr lived in Austria/U.S.,1
Charles Babbage invented the barometer.,0
Igor Sikorsky lived in U.K.,0
George Devol lived in Turkey/U.S.,0
Earle Dickson lived in U.S.,1
ÃScott de Martinville invented the Google search engine.,0
Henry Bessemer lived in U.K.,1
John Atanasoff invented the first electronic digital computer (prototype).,1
Charles Fritts invented the discovery of Pluto.,0
George Cayley invented the aerodynamics (theoretical).,1
Edwin Link invented the hovercraft.,0
Benjamin Franklin invented the waterproof fabric.,0
Karl Benz lived in Germany.,1
Charles Townes invented the revolver.,0
Gordon Gould lived in U.S.,1
Rudolf Diesel lived in Germany.,1
Elisha Otis lived in U.S.,1
Benjamin Franklin invented the lightning rod.,1
George Washington Carver lived in France.,0
Godfrey Hounsfield invented the improved telescope.,0
Gottlieb Daimler invented the induced pluripotent stem cells.,0
Karl Benz invented the caterpillar track.,0
John Kay invented the Richter scale.,0
Ruth Handler invented the Barbie doll.,1
